"Options.SECTION:[cgameworld.FirstPersonCameraContinued","First Person Camera Continued"
"FirstPersonCameraContinued.ToastTextEnter", "XD XD Press ESC key to exit"
"FirstPersonCameraContinued.TooltipFreeCamera", ""
"FirstPersonCameraContinued.TooltipFollowCamera", ""
"Options.OPTION:FOV","FOV"
"Options.OPTION_DESCRIPTION:FOV","Set the camera FOV when entering First Person Mode"
"Options.OPTION:MovementSpeed","Walking Speed 11"
"Options.OPTION_DESCRIPTION:MovementSpeed","Set the walking speed when in free mode"
"Options.OPTION:RunSpeed","Running Speed"
"Options.OPTION_DESCRIPTION:RunSpeed","Set the running speed when in free mode, hold SHIFT to activate"
"Options.OPTION:CimHeight","Cim Height"
"Options.OPTION_DESCRIPTION:CimHeight","Set the default height of the cim in free mode"
"Options.OPTION:TransitionSpeedFactor","Transition Speed Factor"
"Options.OPTION_DESCRIPTION:TransitionSpeedFactor","Adjust the enter/exit transition speed"
"Options.OPTION:ResetModSettings","Reset All Settings"
"Options.OPTION_DESCRIPTION:ResetModSettings","Reset Mod Settings to Default Values"
"Options.WARNING:ResetModSettings","Are you sure you want to reset all mod settings?"
"Options.OPTION:MultilineText","Keyboard Shortcuts in First Person Mode:\nWASD - move around\nSHIFT - walk faster\nR/F -increase/decrease the camera height\nUP/DOWN ARROW - shift camera forwards/backwards in follow mode"
