"FirstPersonCameraContinued.ToastTextEnter","Naciśnij klawisz ESC, aby wyjść"
"FirstPersonCameraContinued.ToastTextRandomModeCimEnter","Naciśnij ENTER, aby obserwować kolejnego losowego mieszkańca"
"FirstPersonCameraContinued.ToastTextRandomModeVehicleEnter","Naciśnij ENTER, aby obserwować kolejny losowy pojazd"
"FirstPersonCameraContinued.TooltipMainCameraIcon","Kliknij, aby wybrać tryb pierwszej osoby"
"FirstPersonCameraContinued.EnterFreeCamera","Wejdź do wolnej kamery"
"FirstPersonCameraContinued.FollowRandomCim","Śledź losowego mieszkańca"
"FirstPersonCameraContinued.FollowRandomVehicle","Śledź losowy pojazd"
"FirstPersonCameraContinued.TooltipFollowCamera","Śledź wybrany obiekt w trybie pierwszej osoby."
"Options.OPTION:FOV","FOV"
"Options.OPTION_DESCRIPTION:FOV","Ustaw FOV kamery przy wejściu w tryb pierwszej osoby"
"Options.OPTION:MovementSpeed","Prędkość chodzenia"
"Options.OPTION_DESCRIPTION:MovementSpeed","Ustaw prędkość chodzenia w trybie wolnej kamery"
"Options.OPTION:RunSpeed","Prędkość biegania"
"Options.OPTION_DESCRIPTION:RunSpeed","Ustaw prędkość biegania w trybie wolnej kamery, przytrzymaj klawisz SHIFT, aby aktywować"
"Options.OPTION:CimHeight","Wzrost mieszkańca"
"Options.OPTION_DESCRIPTION:CimHeight","Ustaw domyślny wzrost mieszkańca w trybie wolnej kamery"
"Options.OPTION:TransitionSpeedFactor","Szybkość przejścia"
"Options.OPTION_DESCRIPTION:TransitionSpeedFactor","Dostosuj szybkość przejścia wejścia/wyjścia z trybu"
"Options.OPTION:ShowGameUI","Show Game UI"
"Options.OPTION_DESCRIPTION:ShowGameUI","Show the Game UI while in first person mode"
"Options.OPTION:ResetModSettings","Zresetuj wszystkie ustawienia"
"Options.OPTION_DESCRIPTION:ResetModSettings","Zresetuj ustawienia moda do wartości domyślnych"
"Options.WARNING:ResetModSettings","Czy na pewno chcesz zresetować wszystkie ustawienia moda?"
"Options.OPTION:MultilineText","Skróty klawiszowe w trybie pierwszej osoby: \nWASD - poruszanie się, \nSHIFT - bieg, \nR/F - zwiększa/zmniejsza wysokość kamery, \nStrzałka w Górę/Dół - przesuwanie kamery do przodu/tyłu w trybie śledzenia"
"Options.SECTION:[cgameworld.FirstPersonCameraContinued","First Person Camera Continued"
"Options.OPTION:FreeModeKeybind","Wejdź w tryb wolnej kamery"
"Options.BINDING:EnterFreeModeBinding","Wejdź w tryb wolnej kamery"
"Options.OPTION_DESCRIPTION:FreeModeKeybind","Skrót klawiszowy, aby wejść w tryb wolnej kamery pierwszej osoby"
