"Options.SECTION:[cgameworld.FirstPersonCameraContinued","First Person Camera Continued"
"FirstPersonCameraContinued.ToastTextEnter","Нажмите ESC для выхода"
"FirstPersonCameraContinued.ToastTextRandomModeCimEnter","Нажмите ENTER, чтобы перейти к случайному жителю"
"FirstPersonCameraContinued.ToastTextRandomModeVehicleEnter","Нажмите ENTER, чтобы следовать за случайным транспортным средством"
"FirstPersonCameraContinued.TooltipMainCameraIcon","Нажмите для выбора режима вида от первого лица"
"FirstPersonCameraContinued.EnterFreeCamera","Включение режима камеры от первого лица"
"FirstPersonCameraContinued.FollowRandomCim","Следовать за случайным жителем"
"FirstPersonCameraContinued.FollowRandomVehicle","Следовать за случайным транспортом"
"FirstPersonCameraContinued.FollowRandomTransit","Follow Random Transit"
"FirstPersonCameraContinued.TooltipFollowCamera","Следуйте за выбранным элементом в режиме свободной камеры."
"FirstPersonCameraContinued.NameLabel","Name"
"FirstPersonCameraContinued.SpeedLabel","Speed"
"FirstPersonCameraContinued.VehicleTypeLabel","Vehicle Type"
"FirstPersonCameraContinued.ActionLabel","Action"
"FirstPersonCameraContinued.PassengersLabel","Passengers"
"Options.TAB:GeneralSettingsTab","General"
"Options.TAB:UISettingsTab","UI"
"Options.GROUP:CameraSettingsGroup","Camera"
"Options.GROUP:KeybindingSettingsGroup","Keybinding"
"Options.GROUP:OtherSettingsGroup","Other"
"Options.OPTION:FOV","Поле зрения"
"Options.OPTION_DESCRIPTION:FOV","Установка угла обзора в режиме вида от первого лица"
"Options.OPTION:MovementSpeed","Скорость ходьбы"
"Options.OPTION_DESCRIPTION:MovementSpeed","Изменение скорости ходьбы в режиме вида от первого лица"
"Options.OPTION:RunSpeed","Скорость бега"
"Options.OPTION_DESCRIPTION:RunSpeed","Для активации бега удерживайте клавишу SHIFT"
"Options.OPTION:CimHeight","Высота камеры над уровнем поверхности"
"Options.OPTION_DESCRIPTION:CimHeight","Изменение высоты камеры"
"Options.OPTION:TransitionSpeedFactor","Скорость анимации включения камеры"
"Options.OPTION_DESCRIPTION:TransitionSpeedFactor","Изменение скорости анимации включения камеры"
"Options.OPTION:ResetModSettings","Сбросить все настройки"
"Options.OPTION_DESCRIPTION:ResetModSettings","Сбросить настройки мода по умолчанию"
"Options.WARNING:ResetModSettings","Вы уверены, что хотите сбросить все настройки мода?"
"Options.OPTION:ModVersion","Mod Version"
"Options.OPTION_DESCRIPTION:ModVersion","Installed version of mod"
"Options.OPTION:MultilineText","Горячие клавиши в режиме Первого лица:\nWSAD - перемещаться\n SHIFT - беr\nR/F -увеличение/уменьшение высоты камеры\nUP/DOWN ARROW - перемещение камеры вперёд/назад в режиме следования"
"Options.OPTION:FreeModeKeybind","Включение режима камеры от первого лица"
"Options.BINDING:EnterFreeModeBinding","Включение режима камеры от первого лица"
"Options.OPTION_DESCRIPTION:FreeModeKeybind","Назначьте клавишу для включения режима камеры от первого лица"
"Options.GROUP:UISettingsGroup","General"
"Options.OPTION:ShowGameUI","Показывать Игровой интерфейс"
"Options.OPTION_DESCRIPTION:ShowGameUI","Show the game UI while in first person mode"
"Options.GROUP:InfoBoxSettingsGroup","Info Box"
"Options.OPTION:ShowInfoBox","Show Info Box"
"Options.OPTION_DESCRIPTION:ShowInfoBox","Show info box with current speed and other stats while in first person mode"
"Options.OPTION:InfoBoxSize","Info Box Size"
"Options.OPTION_DESCRIPTION:InfoBoxSize","Display size of info box"
"Options.FirstPersonCameraContinued.FirstPersonCameraContinued.Mod.INFOBOXSIZE[Small]","Small"
"Options.FirstPersonCameraContinued.FirstPersonCameraContinued.Mod.INFOBOXSIZE[Default]","Default"
"Options.FirstPersonCameraContinued.FirstPersonCameraContinued.Mod.INFOBOXSIZE[Large]","Large"
"Options.OPTION:OnlyShowSpeed","Only Show Speed"
"Options.OPTION_DESCRIPTION:OnlyShowSpeed","Only show the speed in the info box while in first person view"
